Date,Open,High,Low,Close,Adj Close,Volume,dIndex,logClose,rtnClose,vol,vol_1,vol_ma_5,vol_ma_21
1/07/14,1828.709961,1840.099976,1828.709961,1837.880005,1837.880005,3511750000,9.170044,7.516368015,0.006063345,1.39E-05,1.94E-05,1.40E-05,2.36E-05
1/08/14,1837.900024,1840.02002,1831.400024,1837.48999,1837.48999,3652140000,-0.410034,7.516155783,-0.000212232,7.95E-06,1.39E-05,1.65E-05,2.38E-05
1/09/14,1839,1843.22998,1830.380005,1838.130005,1838.130005,3581150000,-0.869995,7.516504032,0.000348249,1.77E-05,7.95E-06,1.71E-05,2.25E-05
1/10/14,1840.060059,1843.150024,1832.430054,1842.369995,1842.369995,3335710000,2.309936,7.518808063,0.00230403,1.23E-05,1.77E-05,1.36E-05,2.32E-05
1/13/14,1841.26001,1843.449951,1815.52002,1819.199951,1819.199951,3591350000,-22.060059,7.506152096,-0.012655966,8.41E-05,1.23E-05,1.42E-05,2.35E-05
1/14/14,1821.359985,1839.26001,1821.359985,1838.880005,1838.880005,3353270000,17.52002,7.516911972,0.010759876,3.45E-05,8.41E-05,2.72E-05,2.47E-05
1/15/14,1840.52002,1850.839966,1840.52002,1848.380005,1848.380005,3777800000,7.859985,7.522064861,0.005152889,1.13E-05,3.45E-05,3.13E-05,2.57E-05
1/16/14,1847.98999,1847.98999,1840.300049,1845.890015,1845.890015,3491310000,-2.099975,7.520716833,-0.001348028,6.27E-06,1.13E-05,3.20E-05,2.59E-05
1/17/14,1844.22998,1846.040039,1835.22998,1838.699951,1838.699951,3626120000,-5.530029,7.516814053,-0.003902781,1.24E-05,6.27E-06,2.97E-05,2.50E-05
1/21/14,1841.050049,1849.310059,1832.380005,1843.800049,1843.800049,3782470000,2.75,7.519583965,0.002769912,3.05E-05,1.24E-05,2.97E-05,2.51E-05
1/22/14,1844.709961,1846.869995,1840.880005,1844.859985,1844.859985,3374170000,0.150024,7.520158665,0.0005747,3.81E-06,3.05E-05,1.90E-05,1.66E-05
1/23/14,1842.290039,1842.290039,1820.060059,1828.459961,1828.459961,3972250000,-13.830078,7.51122934,-0.008929325,5.32E-05,3.81E-06,1.29E-05,1.63E-05
1/24/14,1826.959961,1826.959961,1790.290039,1790.290039,1790.290039,4618450000,-36.669922,7.490132919,-0.021096421,0.000148275,5.32E-05,2.12E-05,1.79E-05
1/27/14,1791.030029,1795.97998,1772.880005,1781.560059,1781.560059,4045200000,-9.46997,7.485244697,-0.004888222,6.04E-05,0.000148275,4.96E-05,2.47E-05
1/28/14,1783,1793.869995,1779.48999,1792.5,1792.5,3437830000,9.5,7.491366572,0.006121875,2.34E-05,6.04E-05,5.92E-05,2.74E-05
1/29/14,1790.150024,1790.150024,1770.449951,1774.199951,1774.199951,3964020000,-15.950073,7.481104868,-0.010261704,4.42E-05,2.34E-05,5.78E-05,2.82E-05
1/30/14,1777.170044,1798.77002,1777.170044,1794.189941,1794.189941,3547510000,17.019897,7.492308913,0.011204044,5.26E-05,4.42E-05,6.59E-05,3.02E-05
1/31/14,1790.880005,1793.880005,1772.26001,1782.589966,1782.589966,4059690000,-8.290039,7.485822623,-0.00648629,5.30E-05,5.26E-05,6.58E-05,3.26E-05
2/03/14,1782.680054,1784.829956,1739.660034,1741.890015,1741.890015,4726040000,-40.790039,7.462726018,-0.023096605,0.000236989,5.30E-05,4.67E-05,3.49E-05
2/04/14,1743.819946,1758.72998,1743.819946,1755.199951,1755.199951,4068410000,11.380005,7.470338062,0.007612043,2.61E-05,0.000236989,8.20E-05,4.45E-05
2/05/14,1753.380005,1755.790039,1737.920044,1751.640015,1751.640015,3984290000,-1.73999,7.468307779,-0.002030282,3.77E-05,2.61E-05,8.26E-05,4.53E-05
2/06/14,1752.98999,1774.060059,1752.98999,1773.430054,1773.430054,3825410000,20.440064,7.480670834,0.012363054,5.15E-05,3.77E-05,8.13E-05,4.62E-05
2/07/14,1776.01001,1798.030029,1776.01001,1797.02002,1797.02002,3775990000,21.01001,7.493885028,0.013214194,5.48E-05,5.15E-05,8.11E-05,4.80E-05
2/10/14,1796.199951,1799.939941,1791.829956,1799.839966,1799.839966,3312160000,3.640015,7.495453032,0.001568005,7.36E-06,5.48E-05,8.14E-05,5.02E-05
2/11/14,1800.449951,1823.540039,1800.410034,1819.75,1819.75,3699380000,19.300049,7.506454408,0.011001376,5.88E-05,7.36E-06,3.55E-05,4.97E-05
2/12/14,1820.119995,1826.550049,1815.969971,1819.26001,1819.26001,3326380000,-0.859985,7.506185109,-0.000269299,1.22E-05,5.88E-05,4.20E-05,5.20E-05
2/13/14,1814.819946,1830.25,1809.219971,1829.829956,1829.829956,3289510000,15.01001,7.511978321,0.005793212,4.82E-05,1.22E-05,3.69E-05,4.85E-05
2/14/14,1828.459961,1841.650024,1825.589966,1838.630005,1838.630005,3114750000,10.170044,7.516776011,0.004797689,2.77E-05,4.82E-05,3.62E-05,4.92E-05
2/18/14,1839.030029,1842.869995,1835.01001,1840.76001,1840.76001,3421110000,1.729981,7.517933814,0.001157803,6.59E-06,2.77E-05,3.08E-05,5.00E-05
2/19/14,1838.900024,1847.5,1826.98999,1828.75,1828.75,3661570000,-10.150024,7.511387952,-0.006545862,4.49E-05,6.59E-06,3.07E-05,5.00E-05
2/20/14,1829.23999,1842.790039,1824.579956,1839.780029,1839.780029,3404980000,10.540039,7.517401294,0.006013342,3.56E-05,4.49E-05,2.79E-05,5.15E-05
2/21/14,1841.069946,1846.130005,1835.599976,1836.25,1836.25,3403880000,-4.819946,7.515480727,-0.001920567,1.18E-05,3.56E-05,3.26E-05,5.18E-05
2/24/14,1836.780029,1858.709961,1836.780029,1847.609985,1847.609985,4014530000,10.829956,7.521648183,0.006167455,5.08E-05,1.18E-05,2.53E-05,5.22E-05
2/25/14,1847.660034,1852.910034,1840.189941,1845.119995,1845.119995,3515560000,-2.540039,7.520299592,-0.001348591,1.71E-05,5.08E-05,2.99E-05,5.20E-05
2/26/14,1845.790039,1852.650024,1840.660034,1845.160034,1845.160034,3716730000,-0.630005,7.520321292,2.17E-05,1.52E-05,1.71E-05,3.20E-05,4.58E-05
2/27/14,1844.900024,1854.530029,1841.130005,1854.290039,1854.290039,3547460000,9.390015,7.525257173,0.004935881,1.90E-05,1.52E-05,2.61E-05,4.36E-05
2/28/14,1855.119995,1867.920044,1847.670044,1859.449951,1859.449951,3917450000,4.329956,7.528035998,0.002778824,4.29E-05,1.90E-05,2.28E-05,4.34E-05
3/03/14,1857.680054,1857.680054,1834.439941,1845.72998,1845.72998,3428220000,-11.950074,7.520630131,-0.007405866,5.72E-05,4.29E-05,2.90E-05,4.34E-05
3/04/14,1849.22998,1876.22998,1849.22998,1873.910034,1873.910034,3765770000,24.680054,7.535782454,0.015152323,7.58E-05,5.72E-05,3.03E-05,4.36E-05
3/05/14,1874.050049,1876.530029,1871.109985,1873.810059,1873.810059,3392990000,-0.23999,7.535729102,-5.34E-05,3.02E-06,7.58E-05,4.20E-05,4.47E-05
3/06/14,1874.180054,1881.939941,1874.180054,1877.030029,1877.030029,3360450000,2.849975,7.537446035,0.001716933,6.16E-06,3.02E-06,3.96E-05,3.35E-05
3/07/14,1878.52002,1883.569946,1870.560059,1878.040039,1878.040039,3564740000,-0.479981,7.53798398,0.000537945,1.73E-05,6.16E-06,3.70E-05,3.26E-05
3/10/14,1877.859985,1877.869995,1867.040039,1877.170044,1877.170044,3021350000,-0.689941,7.537520626,-0.000463354,1.21E-05,1.73E-05,3.19E-05,3.16E-05
3/11/14,1878.26001,1882.349976,1863.880005,1867.630005,1867.630005,3392400000,-10.630005,7.532425529,-0.005095097,3.51E-05,1.21E-05,2.29E-05,2.97E-05
3/12/14,1866.150024,1868.380005,1854.380005,1868.199951,1868.199951,3270860000,2.049927,7.532730653,0.000305124,2.04E-05,3.51E-05,1.47E-05,2.88E-05
3/13/14,1869.060059,1874.400024,1841.859985,1846.339966,1846.339966,3670990000,-22.720093,7.520960562,-0.011770092,0.000110617,2.04E-05,1.82E-05,2.94E-05
3/14/14,1845.069946,1852.439941,1839.569946,1841.130005,1841.130005,3285460000,-3.939941,7.518134795,-0.002825766,1.75E-05,0.000110617,3.91E-05,3.19E-05
3/17/14,1842.810059,1862.300049,1842.810059,1858.829956,1858.829956,2860490000,16.019897,7.527702513,0.009567718,3.99E-05,1.75E-05,3.91E-05,3.21E-05
3/18/14,1858.920044,1873.76001,1858.920044,1872.25,1872.25,2930190000,13.329956,7.534896195,0.007193682,2.28E-05,3.99E-05,4.47E-05,3.17E-05
3/19/14,1872.25,1874.140015,1850.349976,1860.77002,1860.77002,3289210000,-11.47998,7.52874567,-0.006150525,5.89E-05,2.28E-05,4.23E-05,3.15E-05
3/20/14,1860.089966,1873.48999,1854.630005,1872.01001,1872.01001,3327540000,11.920044,7.534768004,0.006022334,3.69E-05,5.89E-05,4.99E-05,3.40E-05
3/21/14,1874.530029,1883.969971,1863.459961,1866.52002,1866.52002,5270710000,-8.010009,7.531831024,-0.00293698,4.32E-05,3.69E-05,3.52E-05,3.36E-05
3/24/14,1867.670044,1873.339966,1849.689941,1857.439941,1857.439941,3409000000,-10.230103,7.526954443,-0.004876581,5.82E-05,4.32E-05,4.03E-05,3.40E-05
3/25/14,1859.47998,1871.869995,1855.959961,1865.619995,1865.619995,3200560000,6.140015,7.531348714,0.004394271,2.63E-05,5.82E-05,4.40E-05,3.62E-05
3/26/14,1867.089966,1875.920044,1852.560059,1852.560059,1852.560059,3480850000,-14.529907,7.524323777,-0.007024937,5.66E-05,2.63E-05,4.47E-05,3.50E-05
3/27/14,1852.109985,1855.550049,1842.109985,1849.040039,1849.040039,3733430000,-3.069946,7.522421886,-0.001901892,1.91E-05,5.66E-05,4.43E-05,3.69E-05
3/28/14,1850.069946,1866.630005,1850.069946,1857.619995,1857.619995,2955520000,7.550049,7.527051375,0.004629489,2.86E-05,1.91E-05,4.07E-05,3.71E-05
3/31/14,1859.160034,1875.180054,1859.160034,1872.339966,1872.339966,3274300000,13.179932,7.534944246,0.007892872,2.66E-05,2.86E-05,3.78E-05,3.75E-05
4/01/14,1873.959961,1885.839966,1873.959961,1885.52002,1885.52002,3336190000,11.560059,7.541958935,0.007014688,1.44E-05,2.66E-05,3.14E-05,3.68E-05
4/02/14,1886.609985,1893.170044,1883.790039,1890.900024,1890.900024,3131660000,4.290039,7.544808198,0.002849263,8.90E-06,1.44E-05,2.91E-05,3.47E-05
4/03/14,1891.430054,1893.800049,1882.650024,1888.77002,1888.77002,3055600000,-2.660034,7.543681113,-0.001127085,1.26E-05,8.90E-06,1.95E-05,3.16E-05
4/04/14,1890.25,1897.280029,1863.26001,1865.089966,1865.089966,3583750000,-25.160034,7.53106457,-0.012616543,0.000118077,1.26E-05,1.82E-05,3.20E-05
4/07/14,1863.920044,1864.040039,1841.47998,1845.040039,1845.040039,3801540000,-18.880005,7.520256258,-0.010808312,5.35E-05,0.000118077,3.61E-05,3.73E-05
4/08/14,1845.47998,1854.949951,1837.48999,1851.959961,1851.959961,3721450000,6.479981,7.523999796,0.003743538,3.23E-05,5.35E-05,4.15E-05,3.91E-05
4/09/14,1852.640015,1872.430054,1852.380005,1872.180054,1872.180054,3308650000,19.540039,7.534858835,0.010859039,4.18E-05,3.23E-05,4.51E-05,4.00E-05
4/10/14,1872.280029,1872.530029,1830.869995,1833.079956,1833.079956,3758780000,-39.200073,7.513752867,-0.021105968,0.000182578,4.18E-05,5.16E-05,4.03E-05
4/11/14,1830.650024,1835.069946,1814.359985,1815.689941,1815.689941,3743460000,-14.960083,7.504220807,-0.00953206,4.65E-05,0.000182578,8.56E-05,4.81E-05
4/14/14,1818.180054,1834.189941,1815.800049,1830.609985,1830.609985,3111540000,12.429931,7.512404515,0.008183708,3.66E-05,4.65E-05,7.13E-05,4.50E-05
4/15/14,1831.449951,1844.02002,1816.290039,1842.97998,1842.97998,3736440000,11.530029,7.519139095,0.006734579,8.28E-05,3.66E-05,6.79E-05,4.59E-05
4/16/14,1846.01001,1862.310059,1846.01001,1862.310059,1862.310059,3155080000,16.300049,7.529572963,0.010433868,2.79E-05,8.28E-05,7.81E-05,4.80E-05
4/17/14,1861.72998,1869.630005,1856.719971,1864.849976,1864.849976,3341430000,3.119996,7.530935887,0.001362924,1.73E-05,2.79E-05,7.53E-05,4.82E-05
4/21/14,1865.790039,1871.890015,1863.180054,1871.890015,1871.890015,2642500000,6.099976,7.534703903,0.003768016,7.85E-06,1.73E-05,4.22E-05,4.62E-05
4/22/14,1872.569946,1884.890015,1872.569946,1879.550049,1879.550049,3215440000,6.980103,7.538787692,0.004083789,1.55E-05,7.85E-06,3.45E-05,4.48E-05
4/23/14,1879.319946,1879.75,1873.910034,1875.390015,1875.390015,3085720000,-3.929931,7.536571925,-0.002215767,3.49E-06,1.55E-05,3.03E-05,4.35E-05
4/24/14,1881.969971,1884.060059,1870.23999,1878.609985,1878.609985,3191830000,-3.359986,7.538287413,0.001715488,1.95E-05,3.49E-06,1.44E-05,4.09E-05
4/25/14,1877.719971,1877.719971,1859.699951,1863.400024,1863.400024,3213020000,-14.319947,7.530158068,-0.008129345,3.35E-05,1.95E-05,1.27E-05,4.06E-05
4/28/14,1865,1877.01001,1850.609985,1869.430054,1869.430054,4034680000,4.430054,7.533388879,0.003230812,7.24E-05,3.35E-05,1.60E-05,3.95E-05
4/29/14,1870.780029,1880.599976,1870.780029,1878.329956,1878.329956,3647820000,7.549927,7.53813834,0.00474946,9.89E-06,7.24E-05,2.89E-05,4.20E-05
4/30/14,1877.099976,1885.199951,1872.689941,1883.949951,1883.949951,3779230000,6.849975,7.541125889,0.00298755,1.60E-05,9.89E-06,2.78E-05,4.11E-05
5/01/14,1884.390015,1888.589966,1878.040039,1883.680054,1883.680054,3416740000,-0.709961,7.540982618,-0.000143271,1.13E-05,1.60E-05,3.03E-05,4.06E-05
5/02/14,1885.300049,1891.329956,1878.5,1881.140015,1881.140015,3159560000,-4.160034,7.539633263,-0.001349355,1.67E-05,1.13E-05,2.86E-05,4.05E-05
5/05/14,1879.449951,1885.51001,1866.77002,1884.660034,1884.660034,2733730000,5.210083,7.54150273,0.001869467,3.60E-05,1.67E-05,2.53E-05,4.09E-05
5/06/14,1883.689941,1883.689941,1867.719971,1867.719971,1867.719971,3327260000,-15.96997,7.532473699,-0.009029031,2.61E-05,3.60E-05,1.80E-05,4.20E-05
5/07/14,1868.530029,1878.829956,1859.790039,1878.209961,1878.209961,3632950000,9.679932,7.538074454,0.005600755,3.74E-05,2.61E-05,2.12E-05,3.76E-05
5/08/14,1877.390015,1889.069946,1870.050049,1875.630005,1875.630005,3393420000,-1.76001,7.536699885,-0.001374569,3.69E-05,3.74E-05,2.55E-05,3.68E-05
5/09/14,1875.27002,1878.569946,1867.02002,1878.47998,1878.47998,3025020000,3.20996,7.538218208,0.001518323,1.37E-05,3.69E-05,3.06E-05,3.71E-05
5/12/14,1880.030029,1897.130005,1880.030029,1896.650024,1896.650024,3005740000,16.619995,7.547844464,0.009626256,2.96E-05,1.37E-05,3.00E-05,3.57E-05
5/13/14,1896.75,1902.170044,1896.060059,1897.449951,1897.449951,2915680000,0.699951,7.548266133,0.000421669,3.73E-06,2.96E-05,2.88E-05,2.84E-05
